risk_score,confidence,station_name,station_address,borough,yearbuilt,numfloors,total_ev_ports,charger_open_date,sprinkler_permits_count,sprinkler_last_date,fire_violations_count,facility_type,confidence_reason,bldgclass,bldgarea_sqft,lat,lon,reasons
100,medium,StuyTown 251 Ave C - Garage 5,251 Avenue C,MN,1900,5.0,19,2022-12-12,0,none,4,PARKING_GARAGE,name mentions garage/parking,C7,10890.0,40.7294,-73.9755,"built 1900, pre-1968 code (+30); 19 L2 + 0 DC fast ports, moderate density (+15); no sprinkler permits on record (+25); 5 floors, multi-story (+10); 4 critical violation(s) (emergency/unsafe/structural) (+20)"
86,low,NYC FLEET / DOE_Q80103,49-16 Vernon Blvd,QN,1900,2.0,6,,0,none,2,FLEET_STATION,fleet station — may be outdoor/surface lot,E9,8000.0,40.743237,-73.953941,"built 1900, pre-1968 code (+30); 6 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 2 floors (+5); 2 critical violation(s) (emergency/unsafe/structural) (+16)"
85,low,South Williamsburg,260 S 4th St,BK,1915,6.0,15,2023-05-01,0,none,0,PARKING_GARAGE,no strong evidence charger is inside a structure,C6,26720.0,40.70983,-73.95767,"built 1915, pre-1968 code (+30); 0 L2 + 15 DC fast ports, high density (+20); no sprinkler permits on record (+25); 6 floors, multi-story (+10)"
85,medium,5-19 Borden Ave - Garage,5-19 Borden Ave,QN,1931,3.0,38,2023-01-08,0,none,0,PARKING_GARAGE,name mentions garage/parking,C2,3600.0,40.741944,-73.95585,"built 1931, pre-1968 code (+30); 38 L2 + 0 DC fast ports, high density (+20); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
81,low,NYC FLEET / DOEVERNONBLVD-6,49-44 Vernon Blvd,QN,1900,2.0,1,,0,none,2,FLEET_STATION,fleet station — may be outdoor/surface lot,E9,8000.0,40.743099,-73.953992,"built 1900, pre-1968 code (+30); 1 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 2 floors (+5); 2 critical violation(s) (emergency/unsafe/structural) (+16)"
80,medium,NYC FLEET / DOF_STARR#1,31-46 Greenpoint Ave,QN,1931,1.0,2,,0,none,3,FLEET_STATION,fleet station in garage-classified building,G1,1000.0,40.734714,-73.93697,"built 1931, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 3 critical violation(s) (emergency/unsafe/structural) (+20)"
80,medium,NYC FLEET / DOF_STARR#2,31-32 Greenpoint Ave,QN,1931,1.0,2,,0,none,3,FLEET_STATION,fleet station in garage-classified building,G1,1000.0,40.73466,-73.93711,"built 1931, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 3 critical violation(s) (emergency/unsafe/structural) (+20)"
80,low,NYC FLEET / DEP_26WARD# 1,12266 Flatlands Ave,BK,1963,3.0,12,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,M3,2824.0,40.654817,-73.881479,"built 1963, pre-1968 code (+30); 12 L2 + 0 DC fast ports, moderate density (+15); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
80,medium,NYC FLEET / DEP_LFRK101+102,96-08 57Th Ave,QN,1961,6.0,10,,0,none,0,FLEET_STATION,fleet station in garage-classified building,RM,90325.0,40.73698,-73.864625,"built 1961, pre-1968 code (+30); 10 L2 + 0 DC fast ports, moderate density (+15); no sprinkler permits on record (+25); 6 floors, multi-story (+10)"
78,high,Icon Parking 322 23rd Street - Tesla Destination,318-322 E 23rd St,MN,1929,4.0,3,2018-01-08,0,none,1,PAY_GARAGE,named garage operator + garage-classified building,G1,26929.0,40.737533,-73.980437,"built 1929, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10); 1 critical violation(s) (emergency/unsafe/structural) (+8)"
