risk_score,address,borough,bldgclass,garage_type,yearbuilt,numfloors,has_chargers,total_ev_ports,sprinkler_permits_count,sprinkler_last_date,fire_violations_count,bldgarea_sqft,garagearea_sqft,small_garage,lat,lon,reasons
86,176 JOHNSON STREET,BK,RM,under_residential,1926,8.0,False,0,0,none,2,58424.0,5092.0,False,40.6945604,-73.9826904,"built 1926, pre-1968 code (+30); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 8 floors, multi-story (+10); 2 DOB critical violation(s) (emergency/unsafe/structural) (+16); FDNY: 1 open sprinkler maintenance, 8 open inspection/testing, 1 other open fire protection violation(s) (+25)"
86,99-44 62 AVENUE,QN,D1,under_residential,1964,7.0,False,0,0,none,2,55300.0,2500.0,False,40.7352514,-73.8566867,"built 1964, pre-1968 code (+30); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 7 floors, multi-story (+10); 2 DOB critical violation(s) (emergency/unsafe/structural) (+16); FDNY: 8 open inspection/testing violation(s) (+25)"
81,417 WEST 44 STREET,MN,C4,under_residential,1901,4.0,False,0,0,none,2,7791.0,1900.0,True,40.760334,-73.9925351,"built 1901, pre-1968 code (+30); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 4 floors, multi-story (+10); 2 DOB critical violation(s) (emergency/unsafe/structural) (+16); FDNY: 4 open inspection/testing violation(s) (+20)"
81,1022 EAST 93 STREET,BK,D7,under_residential,1976,10.0,False,0,0,none,2,550700.0,35470.0,False,40.6631253,-73.928055,"built 1976, pre-IBC 2003 (+15); Pre-2004 residential ≥10 floors, no DOB permit, no FDNY evidence — Local Law 26 retrofit deadline (July 2019) likely missed (+30); 10 floors, multi-story (+10); 2 DOB critical violation(s) (emergency/unsafe/structural) (+16); FDNY: 2 open inspection/testing violation(s) (+10)"
80,745 EAST 231 STREET,BX,D4,under_residential,1957,6.0,False,0,0,none,0,249258.0,21600.0,False,40.8918841,-73.8563273,"built 1957, pre-1968 code (+30); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 6 floors, multi-story (+10); FDNY: 11 open inspection/testing violation(s) (+25)"
78,214 RICHARDSON STREET,BK,RM,under_residential,1950,10.0,False,0,0,none,1,12434.0,2675.0,False,40.7187534,-73.9425908,"built 1950, pre-1968 code (+30); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 10 floors, multi-story (+10); 1 DOB critical violation(s) (emergency/unsafe/structural) (+8); FDNY: 2 open sprinkler maintenance, 4 open inspection/testing violation(s) (+25)"
78,136-05 SANFORD AVENUE,QN,RM,under_residential,1929,6.0,False,0,0,none,1,102000.0,10000.0,False,40.7571134,-73.8285682,"built 1929, pre-1968 code (+30); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 6 floors, multi-story (+10); 1 DOB critical violation(s) (emergency/unsafe/structural) (+8); FDNY: 3 open sprinkler maintenance, 4 open inspection/testing violation(s) (+25)"
78,475 MARCY AVENUE,BK,F5,other,1930,8.0,True,25,26,2022-02-01,1,574055.0,0.0,False,40.6995759,-73.9486012,"built 1930, pre-1968 code (+30); DOB sprinkler permit on record (+0); 8 floors, multi-story (+10); 1 DOB minor violation(s) (+1); FDNY: 2 open sprinkler maintenance, 1 open inspection/testing violation(s) (+22); EV chargers: 0 L2 + 25 DC fast (+15)"
77,2121 PAULDING AVENUE,BX,D4,under_residential,1964,6.0,False,0,0,none,1,153804.0,10400.0,False,40.8540149,-73.8602517,"built 1964, pre-1968 code (+30); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 6 floors, multi-story (+10); 1 DOB critical violation(s) (emergency/unsafe/structural) (+8); FDNY: 1 open sprinkler maintenance, 6 open inspection/testing violation(s) (+24)"
77,2001 BATH AVENUE,BK,K4,under_commercial,1915,3.0,False,0,1,2004-09-21,3,27416.0,3598.0,False,40.6014833,-74.0011019,"built 1915, pre-1968 code (+30); DOB sprinkler permit on record (+0); 3 floors, multi-story (+10); 3 DOB critical violation(s) (emergency/unsafe/structural) (+20); FDNY: 1 open sprinkler maintenance, 1 open inspection/testing violation(s) (+17)"
76,126 EAST 19 STREET,MN,D3,under_residential,1882,5.0,False,0,0,none,0,9320.0,1200.0,True,40.7366655,-73.9861725,"built 1882, pre-1968 code (+30); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 5 floors, multi-story (+10); FDNY: 7 open inspection/testing violation(s) (+21)"
